Incineroar, 31.51053468085106382978723404
Landorus-Therian, 22.69573212765957446808510638
Tapu Koko, 18.52636085106382978723404255
Tapu Lele, 15.03572
Tapu Fini, 14.91455319148936170212765957
Charizard-Mega-Y, 13.05860127659574468085106383
Zapdos, 10.86752212765957446808510638
Metagross-Mega, 10.48144468085106382978723404
Kartana, 10.08395659574468085106382979
Amoonguss, 9.690583829787234042553191489
Kommo-o, 8.982417446808510638297872340
Pelipper, 8.78118
Gastrodon, 8.353923829787234042553191489
Salamence-Mega, 8.087906382978723404255319149
Milotic, 7.750260212765957446808510638
Whimsicott, 7.592804255319148936170212766
Celesteela, 7.363357659574468085106382979
Swampert-Mega, 7.345405744680851063829787234
Ferrothorn, 6.806005106382978723404255319
Tapu Bulu, 6.710162127659574468085106383
Tyranitar, 6.494649361702127659574468085
Cresselia, 6.282477659574468085106382979
Aegislash, 6.061071914893617021276595745
Zygarde, 5.771518297872340425531914894
Stakataka, 5.740668510638297872340425532
Camerupt-Mega, 5.627610851063829787234042553
Diancie, 5.552359574468085106382978723
Porygon2, 5.431846808510638297872340426
Zeraora, 5.418877021276595744680851064
Heatran, 4.997747021276595744680851064
Kingdra, 4.992646808510638297872340426
Mew, 4.989922978723404255319148936
Volcanion, 4.931408297872340425531914894
Excadrill, 4.921336595744680851063829787
Gardevoir-Mega, 4.893512340425531914893617021
Garchomp, 4.863422553191489361702127660
Ludicolo, 4.732224680851063829787234043
Torkoal, 4.505659574468085106382978723
Politoed, 4.432869574468085106382978723
Volcarona, 4.262474042553191489361702128
Sceptile-Mega, 4.181591489361702127659574468
Togekiss, 4.173268510638297872340425532
Ninetales-Alola, 4.156326170212765957446808511
Genesect, 4.040196170212765957446808511
Mimikyu, 4.018676595744680851063829787
Gothitelle, 3.831091702127659574468085106
Venusaur-Mega, 3.709412340425531914893617021
Tyranitar-Mega, 3.497207021276595744680851064
Kyurem-Black, 3.479907446808510638297872340
Diancie-Mega, 3.429479148936170212765957447
Manectric-Mega, 3.359748936170212765957446809
Dusclops, 3.129672553191489361702127660
Mawile-Mega, 3.113888297872340425531914894
Hoopa-Unbound, 3.073337021276595744680851064
Victini, 2.947654255319148936170212766
Azumarill, 2.868645531914893617021276596
Oranguru, 2.863794468085106382978723404
Bronzong, 2.835515531914893617021276596
Venusaur, 2.818928297872340425531914894
Scrafty, 2.806148085106382978723404255
Terrakion, 2.762635957446808510638297872
Arcanine, 2.685528085106382978723404255
Smeargle, 2.639531914893617021276595745
Suicune, 2.576684893617021276595744681
Thundurus-Therian, 2.483114893617021276595744681
Greninja-Ash, 2.470680851063829787234042553
Rotom-Wash, 2.316808936170212765957446809
Greninja, 2.242047021276595744680851064
Bisharp, 2.221821914893617021276595745
Abomasnow-Mega, 2.216039787234042553191489362
Scizor-Mega, 1.978830638297872340425531915
Togedemaru, 1.942248936170212765957446809
Raichu, 1.922500851063829787234042553
Marowak-Alola, 1.821555319148936170212765957
Serperior, 1.783365319148936170212765957
Ninetales, 1.780422553191489361702127660
Naganadel, 1.759854042553191489361702128
Primarina, 1.709225744680851063829787234
Xurkitree, 1.702189148936170212765957447
Blaziken-Mega, 1.701385531914893617021276596
Shaymin-Sky, 1.675314893617021276595744681
Deoxys-Attack, 1.651033829787234042553191489
Metagross, 1.644810212765957446808510638
Blaziken, 1.633630638297872340425531915
Clefable, 1.627982127659574468085106383
Chansey, 1.542626170212765957446808511
Typhlosion, 1.526302340425531914893617021
Clefairy, 1.521447872340425531914893617
Chandelure, 1.519453829787234042553191489
Dragonite, 1.500166382978723404255319149
Weavile, 1.47288
Krookodile, 1.466312553191489361702127660
Hariyama, 1.465153829787234042553191489
Jolteon, 1.401094255319148936170212766
Gyarados, 1.397935319148936170212765957
Gengar, 1.389915319148936170212765957
Hitmontop, 1.388804468085106382978723404
Sylveon, 1.373996595744680851063829787
Araquanid, 1.348567234042553191489361702
Infernape, 1.347524468085106382978723404
Aromatisse, 1.324459361702127659574468085
Talonflame, 1.297536382978723404255319149
Landorus, 1.291158085106382978723404255
Pheromosa, 1.277195744680851063829787234
Scizor, 1.239175319148936170212765957
Blacephalon, 1.230215319148936170212765957
Nihilego, 1.221541914893617021276595745
Sableye, 1.208065531914893617021276596
Conkeldurr, 1.200332340425531914893617021
Lopunny-Mega, 1.198041489361702127659574468
Cradily, 1.193981489361702127659574468
Muk-Alola, 1.180504468085106382978723404
Malamar, 1.145096382978723404255319149
Espeon, 1.137666808510638297872340426
Thundurus, 1.087218723404255319148936170
Lucario-Mega, 1.078387234042553191489361702
Aerodactyl-Mega, 1.074748510638297872340425532
Oricorio-Pom-Pom, 1.073711702127659574468085106
Porygon-Z, 1.070746170212765957446808511
Latias, 1.040817446808510638297872340
Comfey, 1.039832553191489361702127660
Aerodactyl, 1.019838510638297872340425532
Staraptor, 1.012549361702127659574468085
Gardevoir, 0.9806827659574468085106382979
Breloom, 0.9676495744680851063829787234
Braviary, 0.9638880851063829787234042553
Raichu-Alola, 0.9329504255319148936170212766
Lurantis, 0.9317738297872340425531914894
Reuniclus, 0.9272857446808510638297872340
Tornadus, 0.92392
Klefki, 0.9195404255319148936170212766
Heliolisk, 0.9068187234042553191489361702
Crobat, 0.9021406382978723404255319149
Gigalith, 0.9015955319148936170212765957
Shuckle, 0.8992427659574468085106382979
Lucario, 0.8808661702127659574468085106
Tsareena, 0.8806255319148936170212765957
Rhyperior, 0.8754523404255319148936170213
Darkrai, 0.8712370212765957446808510638
Hydreigon, 0.8693717021276595744680851064
Lilligant, 0.8681082978723404255319148936
